ID,Age,Gender,Education,Country,Ethics,Neuroticism,Extraversion,Cannabis_Consumption,Ecstasy_Consumption,Alcohol_Consumption,Cocaine_Consumption
1,36.0,M,Professional Cert.,0.96,0.13,0.31,-0.58,Used Last Year,Used 5-10 Years,Never Used,CL2
2,30.0,F,Doctorate Degree,0.96,-0.32,-0.68,1.94,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL0
3,44.0,F,Professional Cert.,0.96,-0.32,-0.47,0.81,Used Last Month,Never Used,Never Used,CL0
4,20.0,M,Master’s Degree,0.96,-0.32,-0.15,-0.81,Used 1-2 Years,Never Used,Never Used,CL3
5,43.0,M,Doctorate Degree,0.96,-0.32,0.74,-1.63,Used 1-2 Years,Used >10 Years,Used >10 Years,CL0
6,19.0,M,,0.25,-0.32,-0.68,-0.3,Used 5-10 Years,Never Used,Never Used,CL0
7,53.0,F,Master’s Degree,-0.57,-0.32,-0.47,-1.09,Used Last Month,Never Used,Never Used,CL0
8,36.0,F,,0.96,-0.32,-1.33,1.94,Used Last Year,Never Used,Never Used,CL0
9,41.0,M,Professional Cert.,0.25,-0.32,0.63,2.57,Used 1-2 Years,Never Used,Never Used,CL0
10,59.0,F,Master’s Degree,0.96,-0.32,-0.25,0.0,Used Last Month,Used >10 Years,Never Used,CL1
11,33.0,M,University Degree,0.96,-0.32,-1.05,0.81,Used Last Year,Never Used,Used >10 Years,CL0
12,50.0,F,Some College,-0.29,-0.32,-1.33,0.0,Used Last Year,Used >10 Years,Never Used,CL0
13,57.0,M,University Degree,0.96,-0.32,2.29,0.17,Used Last Year,Used >10 Years,Never Used,CL4
14,61.0,M,Professional Cert.,0.25,-0.32,-0.79,0.81,Used >10 Years,Never Used,Never Used,CL0
15,59.0,M,Professional Cert.,0.96,-0.32,-0.92,1.45,Used Last Month,Never Used,Never Used,CL0
16,60.0,F,University Degree,0.96,-0.32,-2.05,-1.51,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL0
17,41.0,M,Some College,0.96,-0.32,-1.55,-0.81,Used Last Month,Never Used,Never Used,CL1
18,50.0,F,,0.96,-0.32,0.52,-1.23,Used Last Month,Used >10 Years,Used >10 Years,CL0
19,60.0,F,University Degree,-0.1,-0.32,1.37,-0.15,Used Last Month,Used 5-10 Years,Never Used,CL2
20,38.0,F,Professional Cert.,0.96,-0.32,-0.35,-1.76,Used 1-2 Years,Used >10 Years,Never Used,CL0
21,51.0,F,Professional Cert.,0.96,-0.32,-0.79,0.81,Used Last Month,Used >10 Years,Used >10 Years,CL0
23,50.0,F,University Degree,0.96,-0.32,0.42,-0.95,Used 1-2 Years,Never Used,Never Used,CL0
24,47.0,F,,0.96,-0.32,1.6,-3.27,Used Last Month,Used 5-10 Years,Used >10 Years,CL5
25,59.0,F,University Degree,0.96,-0.32,-0.15,0.64,Used Last Year,Used >10 Years,Used >10 Years,CL1
26,53.0,F,Some College,0.96,-0.32,-0.79,-0.44,Used Last Year,Used >10 Years,Used 5-10 Years,CL0
27,63.0,M,,0.25,-0.32,-0.05,-1.63,Used Last Month,Never Used,Never Used,CL2
28,36.0,F,University Degree,0.96,-0.32,0.52,-1.23,Used Last Month,Used >10 Years,Used >10 Years,CL2
29,40.0,M,Master’s Degree,0.96,-0.32,0.04,-1.51,Used Last Month,Never Used,Never Used,CL0
30,45.0,F,Doctorate Degree,0.96,-0.32,-1.33,1.74,Never Used,Never Used,Never Used,CL0
31,48.0,F,,0.96,-0.32,0.31,-0.81,Used Last Month,Used >10 Years,Used >10 Years,CL1
32,44.0,M,,-0.29,-0.32,-1.19,-0.81,Used 2-5 Years,Never Used,Never Used,CL2
33,37.0,F,University Degree,0.96,-0.32,-0.79,-1.23,Used Last Month,Used >10 Years,Used >10 Years,CL0
34,23.0,F,University Degree,0.96,-0.32,0.42,-0.3,Used Last Month,Never Used,Never Used,CL0
35,38.0,F,University Degree,-0.57,11,1.02,0.64,Used 1-2 Years,Used 5-10 Years,Used >10 Years,CL1
36,83.0,F,,0.96,-0.32,-0.25,-0.81,Used 2-5 Years,Never Used,Never Used,CL0
37,43.0,F,University Degree,0.96,-0.32,-0.25,-0.58,Used Last Month,Never Used,Never Used,CL0
38,63.0,F,,-0.57,-0.32,0.31,0.32,Used Last Month,Used >10 Years,Used 5-10 Years,CL1
39,47.0,F,University Degree,0.96,-0.32,-1.55,1.29,Used Last Month,Used >10 Years,Never Used,CL0
41,35.0,F,Master’s Degree,0.96,-0.32,0.04,-0.44,Used Last Year,Used >10 Years,Never Used,CL2
42,35.0,M,University Degree,0.96,-0.32,0.83,0.0,Used 1-2 Years,Never Used,Never Used,CL0
43,41.0,F,Master’s Degree,0.96,-0.32,-0.15,-0.95,Used Last Month,Never Used,Used 2-5 Years,CL5
44,38.0,F,Professional Cert.,0.96,-0.32,-0.92,-0.58,Used Last Month,Used 5-10 Years,Used 5-10 Years,CL0
45,27.0,F,University Degree,0.96,11,-1.05,1.45,Used Last Year,Never Used,Never Used,CL0
46,32.0,M,University Degree,0.96,-0.32,-0.47,0.48,Used Last Year,Never Used,Never Used,CL0
47,53.0,M,Some College,0.25,-0.32,0.31,0.64,Used 2-5 Years,Never Used,Never Used,CL0
48,48.0,F,Master’s Degree,0.96,-0.32,-2.05,0.81,Used Last Year,Never Used,Never Used,CL0
49,49.0,F,,0.96,-0.32,0.14,-0.81,Used Last Month,Used >10 Years,Used >10 Years,CL0
50,27.0,M,Master’s Degree,0.96,-0.22,0.83,-0.58,Used Last Month,Never Used,Never Used,CL0
51,42.0,F,Master’s Degree,0.96,-0.32,1.02,-0.15,Used Last Month,Used >10 Years,Used 5-10 Years,CL1
52,45.0,F,Professional Cert.,0.25,-0.32,1.13,0.96,Used 5-10 Years,Used >10 Years,Used >10 Years,CL1
53,55.0,M,University Degree,0.96,-0.32,-0.15,0.0,Used Last Year,Never Used,Never Used,CL0
54,48.0,F,Master’s Degree,0.96,-0.32,-1.44,-0.15,Used Last Year,Used >10 Years,Used >10 Years,CL0
55,57.0,F,,0.96,-0.32,0.04,1.11,Used Last Month,Never Used,Never Used,CL0
56,64.0,M,Professional Cert.,0.96,-0.32,0.04,-0.7,Used 2-5 Years,Never Used,Never Used,CL0
57,37.0,M,Some College,0.96,-0.32,0.04,0.0,Used Last Year,Never Used,Never Used,CL0
58,28.0,M,University Degree,0.96,-0.32,-0.58,0.64,Used >10 Years,Never Used,Never Used,CL0
59,50.0,F,,0.96,-0.32,0.22,0.64,Used Last Year,Used >10 Years,Used >10 Years,CL0
60,47.0,F,University Degree,0.96,-0.32,-0.47,-1.23,Used Last Year,Never Used,Never Used,CL0
61,27.0,M,Doctorate Degree,0.96,-0.32,1.37,0.32,Used Last Year,Never Used,Never Used,CL3
62,48.0,F,Master’s Degree,0.96,-0.5,-2.22,1.58,Used Last Year,Used >10 Years,Never Used,CL0
63,30.0,F,University Degree,0.96,-0.32,-0.58,-1.38,Used Last Year,Never Used,Never Used,CL0
64,47.0,F,University Degree,0.96,-0.32,1.02,-0.3,Used Last Year,Never Used,Never Used,CL0
65,50.0,F,Doctorate Degree,0.96,-0.32,-1.55,0.48,Used Last Month,Used >10 Years,Never Used,CL1
66,36.0,F,Some College,0.96,-0.32,0.74,0.48,Used Last Year,Never Used,Never Used,CL3
67,50.0,F,,0.96,-0.32,-1.05,-0.7,Used 1-2 Years,Never Used,Never Used,CL0
68,31.0,F,Master’s Degree,0.96,-0.32,-0.35,-0.3,Used Last Year,Used >10 Years,Used >10 Years,CL0
69,39.0,F,Professional Cert.,-0.29,-0.32,-0.92,0.0,Used Last Year,Used >10 Years,Used >10 Years,CL0
70,49.0,M,,0.96,-0.32,-0.05,-0.7,Used Last Month,Never Used,Never Used,CL6
71,29.0,F,Some College,0.96,-0.32,-0.35,-0.3,Used Last Month,Used 5-10 Years,Used >10 Years,CL0
