ID,Age,Gender,Education,Country,Ethics,Column7,Column8,Column14,Column15,Column16,Column17
1,36,M,PD,0.96,0.13,0.31,-0.58,CL5,CL2,CL0,CL2
2,30,F,PhD,0.96,-0.32,-0.68,1.94,CL5,CL2,CL2,CL0
3,44,F,PD,0.96,-0.32,-0.47,0.81,CL6,CL0,CL0,CL0
4,20,M,Msc,0.96,-0.32,-0.15,-0.81,CL4,CL0,CL0,CL3
5,43,M,PhD,0.96,-0.32,0.74,-1.63,CL4,CL1,CL1,CL0
6,19,M,L23,0.25,-0.32,-0.68,-0.3,CL2,CL0,CL0,CL0
7,53,F,Msc,-0.57,-0.32,-0.47,-1.09,CL6,CL0,CL0,CL0
8,36,F,L21,0.96,-0.32,-1.33,1.94,CL5,CL0,CL0,CL0
9,41,M,PD,0.25,-0.32,0.63,2.57,CL4,CL0,CL0,CL0
10,59,F,Msc,0.96,-0.32,-0.25,0.0,CL6,CL1,CL0,CL1
11,33,M,Uni,0.96,-0.32,-1.05,0.81,CL5,CL0,CL1,CL0
12,50,F,CD,-0.29,-0.32,-1.33,0.0,CL5,CL1,CL0,CL0
13,57,M,Uni,0.96,-0.32,2.29,0.17,CL5,CL1,CL0,CL4
14,61,M,PD,0.25,-0.32,-0.79,0.81,CL1,CL0,CL0,CL0
15,59,M,PD,0.96,-0.32,-0.92,1.45,CL6,CL0,CL0,CL0
16,60,F,Uni,0.96,-0.32,-2.05,-1.51,CL5,CL2,CL2,CL0
17,41,M,CD,0.96,-0.32,-1.55,-0.81,CL6,CL0,CL0,CL1
18,50,F,L21,0.96,-0.32,0.52,-1.23,CL6,CL1,CL1,CL0
19,60,F,Uni,-0.1,-0.32,1.37,-0.15,CL6,CL2,CL0,CL2
20,38,F,PD,0.96,-0.32,-0.35,-1.76,CL4,CL1,CL0,CL0
21,51,F,PD,0.96,-0.32,-0.79,0.81,CL6,CL1,CL1,CL0
22,133,F,B21,0.96,-0.32,-1.19,0.48,CL5,CL0,CL0,CL0
23,50,F,Uni,0.96,-0.32,0.42,-0.95,CL4,CL0,CL0,CL0
24,47,F,L21,0.96,-0.32,1.6,-3.27,CL6,CL2,CL1,CL5
25,59,F,Uni,0.96,-0.32,-0.15,0.64,CL5,CL1,CL1,CL1
26,53,F,CD,0.96,-0.32,-0.79,-0.44,CL5,CL1,CL2,CL0
27,63,M,L23,0.25,-0.32,-0.05,-1.63,CL6,CL0,CL0,CL2
28,36,F,Uni,0.96,-0.32,0.52,-1.23,CL6,CL1,CL1,CL2
29,40,M,Msc,0.96,-0.32,0.04,-1.51,CL6,CL0,CL0,CL0
30,45,F,PhD,0.96,-0.32,-1.33,1.74,CL0,CL0,CL0,CL0
31,48,F,L21,0.96,-0.32,0.31,-0.81,CL6,CL1,CL1,CL1
32,44,M,L21,-0.29,-0.32,-1.19,-0.81,CL3,CL0,CL0,CL2
33,37,F,Uni,0.96,-0.32,-0.79,-1.23,CL6,CL1,CL1,CL0
34,23,F,Uni,0.96,-0.32,0.42,-0.3,CL6,CL0,CL0,CL0
35,38,F,Uni,-0.57,11,1.02,0.64,CL4,CL2,CL1,CL1
36,83,F,B21,0.96,-0.32,-0.25,-0.81,CL3,CL0,CL0,CL0
37,43,F,Uni,0.96,-0.32,-0.25,-0.58,CL6,CL0,CL0,CL0
38,63,F,B21,-0.57,-0.32,0.31,0.32,CL6,CL1,CL2,CL1
39,47,F,Uni,0.96,-0.32,-1.55,1.29,CL6,CL1,CL0,CL0
40,259,M,PD,0.96,-0.32,-0.25,-0.95,CL6,CL0,CL0,CL0
41,35,F,Msc,0.96,-0.32,0.04,-0.44,CL5,CL1,CL0,CL2
42,35,M,Uni,0.96,-0.32,0.83,0.0,CL4,CL0,CL0,CL0
43,41,F,Msc,0.96,-0.32,-0.15,-0.95,CL6,CL0,CL3,CL5
44,38,F,PD,0.96,-0.32,-0.92,-0.58,CL6,CL2,CL2,CL0
45,27,F,Uni,0.96,11,-1.05,1.45,CL5,CL0,CL0,CL0
46,32,M,Uni,0.96,-0.32,-0.47,0.48,CL5,CL0,CL0,CL0
47,53,M,CD,0.25,-0.32,0.31,0.64,CL3,CL0,CL0,CL0
48,48,F,Msc,0.96,-0.32,-2.05,0.81,CL5,CL0,CL0,CL0
49,49,F,L21,0.96,-0.32,0.14,-0.81,CL6,CL1,CL1,CL0
50,27,M,Msc,0.96,-0.22,0.83,-0.58,CL6,CL0,CL0,CL0
51,42,F,Msc,0.96,-0.32,1.02,-0.15,CL6,CL1,CL2,CL1
52,45,F,PD,0.25,-0.32,1.13,0.96,CL2,CL1,CL1,CL1
53,55,M,Uni,0.96,-0.32,-0.15,0.0,CL5,CL0,CL0,CL0
